Address,Parcel ID,Final Sale Price,Closing Date,Sale Status,Buyer Status,Purchaser Type,Program,Council District,Neighborhood,Latitude,Longitude,Location
10011 Greensboro,21065369.,1800.00,09/22/2017,Closed,Selected,Homebuyer,Auction,4,Outer Drive-Hayes,42.411591,-82.95636,"location
(42.411591, -82.95636)"
7769 Auburn,22092926.,2100.00,10/19/2017,Closed,Selected,Investor,Auction,7,Warrendale,42.349201,-83.233515,"location
(42.349201, -83.233515)"
10536 Nottingham,21066595.,1000.00,10/16/2017,Closed,Selected,Homebuyer,Auction,4,Yorkshire Woods,42.417697,-82.949138,"location
(42.417697, -82.949138)"
18686 Sussex,22046383.,12550.00,06/15/2018,Closed,Selected,,Auction,2,Winship,42.428144,-83.195747,"location
(42.428144, -83.195747)"
6883 Forrer,22054803.,11400.00,01/05/2018,Closed,Selected,,Auction,7,Warren Ave Community,42.342624,-83.20021,"location
(42.342624, -83.20021)"
18275 Prevost,22055373.,1600.00,11/29/2017,Closed,Selected,Homebuyer,Auction,2,College Park,42.424175,-83.204181,"location
(42.424175, -83.204181)"
15525 Prevost,22055492.,5900.00,06/15/2017,Closed,Selected,Homebuyer,Auction,1,Crary/St Marys,42.405008,-83.203363,"location
(42.405008, -83.203363)"
6814 Rutherford,22055668.,7800.00,11/29/2017,Closed,Selected,Homebuyer,Auction,7,Warren Ave Community,42.34166,-83.200734,"location
(42.34166, -83.200734)"
8617 Prest,22049407.,4650.00,02/15/2018,Closed,Selected,,Auction,7,Fiskhorn,42.357464,-83.196148,"location
(42.357464, -83.196148)"
15893 Linnhurst,21018658-9,1000.00,08/23/2017,Closed,Selected,Homebuyer,Auction,4,Mapleridge,42.431789,-82.956155,"location
(42.431789, -82.956155)"
15240 Promenade,21008717.,1100.00,02/27/2018,Closed,Selected,,Auction,4,Outer Drive-Hayes,42.413111,-82.964135,"location
(42.413111, -82.964135)"
19376 Braile,22105436.,6350.00,10/26/2017,Closed,Selected,Homebuyer,Auction,1,Evergreen Lahser 7/8,42.432856,-83.245979,"location
(42.432856, -83.245979)"
19812 Braile,22105462.003L,8200.00,07/12/2017,Closed,Selected,Investor,Auction,1,Evergreen Lahser 7/8,42.436466,-83.246115,"location
(42.436466, -83.246115)"
4716 Courville,21071462.,1100.00,09/29/2017,Closed,Selected,Investor,Auction,4,Morningside,42.401024,-82.937461,"location
(42.401024, -82.937461)"
11281 Courville,21071596.,1000.00,04/13/2018,Closed,Selected,,Auction,4,Outer Drive-Hayes,42.41864,-82.962666,"location
(42.41864, -82.962666)"
5291 Courville,21071681.,1100.00,09/15/2017,Closed,Selected,Homebuyer,Auction,4,Morningside,42.405489,-82.941161,"location
(42.405489, -82.941161)"
4657 Courville,21071724.,1000.00,10/30/2017,Closed,Selected,Investor,Auction,4,Morningside,42.400109,-82.937628,"location
(42.400109, -82.937628)"
9181 Kensington,21072923.,1800.00,09/08/2017,Closed,Selected,Homebuyer,Auction,4,Yorkshire Woods,42.41446,-82.943381,"location
(42.41446, -82.943381)"
